Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P0A6A8	ACP_ECOLI	reviewed	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)	acpP b1094 JW1080	Escherichia coli (strain K12)	78
P0ABD5	ACCA_ECOLI	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA b0185 JW0180	Escherichia coli (strain K12)	319
P24182	ACCC_ECOLI	reviewed	Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	accC fabG b3256 JW3224	Escherichia coli (strain K12)	449
Q97LU2	FABV_CLOAB	reviewed	Trans-2-enoyl-CoA reductase [NADH] (TER) (EC 1.3.1.44)	fabV CA_C0462	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	398
P9WNG3	FABH_MYCTU	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III) (MtFabH)	fabH Rv0533c MTCY25D10.12c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	335
P0A6Q3	FABA_ECOLI	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA b0954 JW0937	Escherichia coli (strain K12)	172
P54616	FABI_BACSU	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (Cold shock-induced protein 15) (CSI15) (NADH-dependent enoyl-ACP reductase) (Vegetative protein 241) (VEG241)	fabI yjbW BSU11720	Bacillus subtilis (strain 168)	258
P71079	FABL_BACSU	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL (ENR) (EC 1.3.1.104) (Enoyl-acyl carrier protein reductase III) (NADPH-dependent enoyl-ACP reductase)	fabL yfhR ygaA BSU08650	Bacillus subtilis (strain 168)	250
Q62L02	FABV_BURMA	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase) (Trans-2-enoyl-CoA reductase [NADH]) (TER) (EC 1.3.1.44)	fabV BMA0885	Burkholderia mallei (strain ATCC 23344)	397
P0A9Q5	ACCD_ECOLI	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD dedB usg b2316 JW2313	Escherichia coli (strain K12)	304
P9WGT3	FABG_MYCTU	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG1 (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase) (Beta-ketoacyl-acyl carrier protein reductase)	fabG1 mabA Rv1483 MTCY277.04	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	247
P0AEK4	FABI_ECOLI	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	fabI envM b1288 JW1281	Escherichia coli (strain K12)	262
Q2P9J6	FABV_XANOM	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9) (Trans-2-enoyl-CoA reductase [NADH]) (TER) (EC 1.3.1.44)	fabV XOO0026	Xanthomonas oryzae pv. oryzae (strain MAFF 311018)	402
P0A6R0	FABH_ECOLI	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III) (EcFabH)	fabH b1091 JW1077	Escherichia coli (strain K12)	317
P0AEK2	FABG_ECOLI	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG b1093 JW1079	Escherichia coli (strain K12)	244
Q73Q47	FABV_TREDE	reviewed	Trans-2-enoyl-CoA reductase [NADH] (TER) (EC 1.3.1.44)	fabV TDE_0597	Treponema denticola (strain ATCC 35405 / CIP 103919 / DSM 14222)	397
Q9HZP8	FABV_PSEAE	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9) (Trans-2-enoyl-CoA reductase) (TER) (EC 1.3.1.44)	fabV PA2950	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	398
P9WGR1	INHA_MYCTU	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (Enoyl-ACP reductase) (EC 1.3.1.9) (FAS-II enoyl-ACP reductase) (NADH-dependent 2-trans-enoyl-ACP reductase)	inhA Rv1484 MTCY277.05	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	269
Q2FZQ3	FABI_STAA8	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI (ENR) (EC 1.3.1.39) (NADPH-dependent enoyl-ACP reductase)	fabI SAOUHSC_00947	Staphylococcus aureus (strain NCTC 8325)	256
P9WNZ3	DESA3_MYCTU	reviewed	NADPH-dependent stearoyl-CoA 9-desaturase (EC 1.14.19.n4) (Delta(9)-stearoyl desaturase) (Stearoyl-CoA 9-desaturase (NADPH)) (Stearoyl-CoA Delta(9)-desaturase)	desA3 Rv3229c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	427
Q9KRA3	FABV1_VIBCH	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] 1 (ENR 1) (EC 1.3.1.9) (Trans-2-enoyl-CoA reductase [NADH]) (TER) (EC 1.3.1.44)	fabV VC_1738/VC_1739	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	401
Q8Z9U1	FABV_YERPE	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9)	fabV YPO4104 y4119 YP_4011	Yersinia pestis	399
P24224	ACPS_ECOLI	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS dpj b2563 JW2547	Escherichia coli (strain K12)	126
