Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q700S9	BGALA_PENSQ	reviewed	Beta-galactosidase A (EC 3.2.1.23) (Lactase A)	lacA	Penicillium sp.	1011
Q2UDK7	BGLM_ASPOR	reviewed	Probable beta-glucosidase M (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase M) (Cellobiase M) (Gentiobiase M)	bglM AO090012000135	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	768
Q5B430	BTGC_EMENI	reviewed	Glucan endo-1,3-beta-glucosidase btgC (EC 3.2.1.39) (Endo-1,3-beta-glucanase btgC) (Laminarinase btgC)	btgC AN4700	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	649
P07337	BGLS_KLUMA	reviewed	Beta-glucosidase (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)		Kluyveromyces marxianus (Yeast) (Candida kefyr)	845
Q8P3J4	CELAP_XANCP	reviewed	Cellobionic acid phosphorylase (EC 2.4.1.321) (4-O-beta-D-glucopyranosyl-D-gluconate:phosphate alpha-D-glucosyltransferase)	XCC4077	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	798
Q83MG5	ARAB_SHIFL	reviewed	Ribulokinase (EC 2.7.1.16)	araB SF0058 S0060	Shigella flexneri	566
Q9S469	ARAD_GEOSE	reviewed	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4) (Phosphoribulose isomerase)	araD	Geobacillus stearothermophilus (Bacillus stearothermophilus)	228
Q8GAK7	ALDH_PAENI	reviewed	Aldehyde dehydrogenase (EC 1.2.1.3) (EC 1.2.1.4) (NAD/NADP-dependent aldehyde dehydrogenase)	aldh adh ORF39	Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans)	458
B8NKA3	ABFA_ASPFN	reviewed	Probable alpha-L-arabinofuranosidase A (ABF A) (Arabinosidase A) (EC 3.2.1.55)	abfA AFLA_089770	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167)	629
Q6D7C2	6PGL_PECAS	reviewed	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	pgl ECA1403	Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica)	332
Q0T4U2	CHBG_SHIF8	reviewed	Chitooligosaccharide deacetylase (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)	chbG SFV_1487	Shigella flexneri serotype 5b (strain 8401)	252
Q2UI87	AGALD_ASPOR	reviewed	Probable alpha-galactosidase D (EC 3.2.1.22) (Melibiase D)	aglD AO090023000151	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	657
A9M2L4	ANMK_NEIM0	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK NMCC_1765	Neisseria meningitidis serogroup C (strain 053442)	366
Q95M17	CHIA_BOVIN	reviewed	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)	CHIA	Bos taurus (Bovine)	472
Q0CVH2	AGALC_ASPTN	reviewed	Probable alpha-galactosidase C (EC 3.2.1.22) (Melibiase C)	aglC ATEG_02312	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	747
Q25589	CHH1_FAXLI	reviewed	Crustacean hyperglycemic hormones A (CHH A) [Cleaved into: CHH precursor-related peptide A (CPRP A); Crustacean hyperglycemic hormone (CHH)]	CHHA	Faxonius limosus (Spinycheek crayfish) (Orconectes limosus)	135
P11955	CHI1_HORVU	reviewed	26 kDa endochitinase 1 (EC 3.2.1.14)		Hordeum vulgare (Barley)	318
B8EBT5	ANMK_SHEB2	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK Sbal223_3145	Shewanella baltica (strain OS223)	369
P04745	AMY1_HUMAN	reviewed	Alpha-amylase 1 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)	AMY1A AMY1; AMY1B AMY1; AMY1C AMY1	Homo sapiens (Human)	511
E9ERT9	CHI1_METRA	reviewed	Endochitinase 1 (EC 3.2.1.14) (Chitinase 1)	chit1 MAA_02685	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23))	424
P21567	AMY1_SACFI	reviewed	Alpha-amylase (EC 3.2.1.1)	ALP1	Saccharomycopsis fibuligera (Yeast)	494
Q10S66	CHI11_ORYSJ	reviewed	Chitinase 11 (EC 3.2.1.14) (Pathogenesis related (PR)-3 chitinase 11)	Cht11 MIRCH38 Os03g0132900 LOC_Os03g04060 OsJ_09305	Oryza sativa subsp. japonica (Rice)	256
Q8S1V1	CLP_ORYSJ	reviewed	Chitinase CLP (OsCLP) (EC 3.2.1.14) (Chitinase-like protein)	CLP Os01g0937050 LOC_Os01g71080 P0504E02.9	Oryza sativa subsp. japonica (Rice)	424
O18345	AMY2_DROAN	reviewed	Alpha-amylase 2 (EC 3.2.1.1)	Amy58 Amy2 GF18843	Drosophila ananassae (Fruit fly)	494
Q8NCG5	CHST4_HUMAN	reviewed	Carbohydrate sulfotransferase 4 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 3) (GST-3) (High endothelial cells N-acetylglucosamine 6-O-sulfotransferase) (HEC-GlcNAc6ST) (L-selectin ligand sulfotransferase) (LSST) (N-acetylglucosamine 6-O-sulfotransferase 2) (GlcNAc6ST-2) (Gn6st-2)	CHST4	Homo sapiens (Human)	386
P04747	AMY3_HORVU	reviewed	Alpha-amylase type B isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (Clone PHV19) (Fragment)	AMY1.3	Hordeum vulgare (Barley)	368
Q99LL3	CHSTC_MOUSE	reviewed	Carbohydrate sulfotransferase 12 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 2) (Chondroitin 4-sulfotransferase 2) (C4ST-2) (C4ST2)	Chst12	Mus musculus (Mouse)	419
A9L683	GMHA_SHEB9	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA Sbal195_4189	Shewanella baltica (strain OS195)	197
A8GZ41	GMHA_SHEPA	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA Spea_0250	Shewanella pealeana (strain ATCC 700345 / ANG-SQ1)	197
A2CAB7	FBSB_PROM3	reviewed	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	P9303_16831	Prochlorococcus marinus (strain MIT 9303)	334
B5YJT7	GMHA_THEYD	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA THEYE_A0660	Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87)	201
A5FMJ5	F16PA_FLAJ1	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp Fjoh_0533	Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / UW101) (Cytophaga johnsonae)	334
Q3SMI5	GMHA_THIDA	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA Tbd_0107	Thiobacillus denitrificans (strain ATCC 25259)	197
B0R3Y1	F16PA_HALS3	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp OE_2020F	Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1)	287
