Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P35392	BLAC_STRFR	reviewed	Beta-lactamase (EC 3.5.2.6) (Penicillinase)	blaF	Streptomyces fradiae (Streptomyces roseoflavus)	306
P52682	BLAN_SERMA	reviewed	Carbapenem-hydrolyzing beta-lactamase Sme-1 (EC 3.5.2.6)	smeA bpl-1 bplA	Serratia marcescens	294
C5BDQ5	ARNC_EDWI9	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC NT01EI_1414	Edwardsiella ictaluri (strain 93-146)	325
Q3KCC2	ARNC_PSEPF	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC Pfl01_2842	Pseudomonas fluorescens (strain Pf0-1)	340
Q8ZDX7	ARNC_YERPE	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC YPO2421 y1918 YP_2208	Yersinia pestis	327
A9KK15	CFR_LACP7	reviewed	Ribosomal RNA large subunit methyltransferase Cfr (EC 2.1.1.224) (23S rRNA (adenine(2503)-C(8))-methyltransferase) (23S rRNA m8A2503 methyltransferase)	cfr Cphy_2221	Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans)	344
B7LAS0	ARNA_ECO55	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA EC55989_2501	Escherichia coli (strain 55989 / EAEC)	660
B7LM78	ARNB_ESCF3	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB EFER_0916	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CDC 0568-73)	379
P96712	BMR3_BACSU	reviewed	Multidrug resistance protein 3 (Multidrug-efflux transporter 3)	bmr3 mdr BSU03070	Bacillus subtilis (strain 168)	512
Q9HY65	ARNB_PSEAE	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB PA3552	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	382
P19650	AAC6_KLEPN	reviewed	Aminoglycoside N(6')-acetyltransferase type 1 (EC 2.3.1.82) (AAC(6')-I) (Aminoglycoside resistance protein)	aacA4	Klebsiella pneumoniae	201
B4TBG5	ARNC_SALHS	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC SeHA_C2538	Salmonella heidelberg (strain SL476)	327
B7NNT5	ARND_ECO7I	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD ECIAI39_2403	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	296
